year,province,category,value,,
2015,Sumatera Utara,poor,0.005746107,,
2015,Sumatera Utara,uc,0.00011624,,
2015,Sumatera Utara,vulnerable,0.01374958,,
2015,Papua Barat Daya,amc,0.004174404,,
2015,Papua Barat Daya,mc,0.001550398,,
2015,Papua Barat Daya,poor,0.003375197,,
2015,Papua Barat Daya,uc,1.3712462519901466e-05,,
2015,Papua Barat Daya,vulnerable,0.002870922,,
2015,Papua Tengah,amc,0.004174404,,
2015,Papua Tengah,mc,0.001550398,,
2015,Papua Tengah,poor,0.003375197,,
2015,Papua Tengah,uc,1.3712462519901466e-05,,
2015,Papua Tengah,vulnerable,0.002870922,,
2015,Papua Selatan,amc,0.004174404,,
2015,Papua Selatan,mc,0.001550398,,
2015,Papua Selatan,poor,0.003375197,,
2015,Papua Selatan,uc,1.3712462519901466e-05,,
2015,Papua Selatan,vulnerable,0.002870922,,
2015,Papua Pegunungan,amc,0.004174404,,
2015,Papua Pegunungan,mc,0.001550398,,
2015,Papua Pegunungan,poor,0.003375197,,
2015,Papua Pegunungan,uc,1.3712462519901466e-05,,
2015,Papua Pegunungan,vulnerable,0.002870922,,
2016,Aceh,amc,0.008605381,,
2016,Aceh,mc,0.001664766,,
2016,Aceh,poor,0.003289943,,
2016,Aceh,uc,1.1935683141620387e-05,,
2016,Aceh,vulnerable,0.006097274,,
2016,Bali,amc,0.007805612,,
2016,Bali,mc,0.004996898,,
2016,Bali,poor,0.000690918,,
2016,Bali,uc,4.902118959026204e-05,,
2016,Bali,vulnerable,0.00269787,,
2016,Banten,amc,0.023617027856547967,,
2016,Banten,mc,0.011029188193439312,,
2016,Banten,poor,0.002551904,,
2016,Banten,uc,0.000274886,,
2016,Banten,vulnerable,0.00960408,,
2016,Bengkulu,amc,0.00306476,,
2016,Bengkulu,mc,0.00089808,,
2016,Bengkulu,poor,0.001274211,,
2016,Bengkulu,uc,6.42350322731289e-06,,
2016,Bengkulu,vulnerable,0.002113494,,
2016,DI Yogyakarta,amc,0.005212335,,
2016,DI Yogyakarta,mc,0.004029104,,
2016,DI Yogyakarta,poor,0.001919181,,
2016,DI Yogyakarta,uc,8.669218860528223e-05,,
2016,DI Yogyakarta,vulnerable,0.003140366,,
2016,DKI Jakarta,amc,0.016391169,,
2016,DKI Jakarta,mc,0.013999414416455115,,
2016,DKI Jakarta,poor,0.001490176,,
2016,DKI Jakarta,uc,0.000614114,,
2016,DKI Jakarta,vulnerable,0.007260931,,
2016,Gorontalo,amc,0.001641769,,
2016,Gorontalo,mc,0.000995322,,
2016,Gorontalo,poor,0.000787878,,
2016,Gorontalo,uc,2.0039707703225533e-05,,
2016,Gorontalo,vulnerable,0.001000141,,
2016,Jambi,amc,0.007266912,,
2016,Jambi,mc,0.001934255,,
2016,Jambi,poor,0.001123744,,
2016,Jambi,uc,1.5048410700071803e-05,,
2016,Jambi,vulnerable,0.00301699,,
2016,Jawa Barat,amc,0.071315143,,
2016,Jawa Barat,mc,0.051802104,,
2016,Jawa Barat,poor,0.016380317,,
2016,Jawa Barat,uc,0.00193408,,
2016,Jawa Barat,vulnerable,0.041635185033004736,,
2016,Jawa Tengah,amc,0.057622247,,
2016,Jawa Tengah,mc,0.021093958338434346,,
2016,Jawa Tengah,poor,0.017475991864295458,,
2016,Jawa Tengah,uc,0.000381622,,
2016,Jawa Tengah,vulnerable,0.035101448,,
2016,Jawa Timur,amc,0.064252393,,
2016,Jawa Timur,mc,0.030190891653801472,,
2016,Jawa Timur,poor,0.018237589197895657,,
2016,Jawa Timur,uc,0.000853369,,
2016,Jawa Timur,vulnerable,0.037763522665747125,,
2016,Kalimantan Barat,amc,0.009794459,,
2016,Kalimantan Barat,mc,0.003021628,,
2016,Kalimantan Barat,poor,0.001478735,,
2016,Kalimantan Barat,uc,2.778347157929373e-05,,
2016,Kalimantan Barat,vulnerable,0.004459053,,
2016,Kalimantan Selatan,amc,0.008561007,,
2016,Kalimantan Selatan,mc,0.003320797,,
2016,Kalimantan Selatan,poor,0.000758851,,
2016,Kalimantan Selatan,uc,3.712748399535732e-05,,
2016,Kalimantan Selatan,vulnerable,0.002983786,,
2016,Kalimantan Tengah,amc,0.004805543,,
2016,Kalimantan Tengah,mc,0.002590971,,
2016,Kalimantan Tengah,poor,0.000556381,,
2016,Kalimantan Tengah,uc,3.560747236257198e-05,,
2016,Kalimantan Tengah,vulnerable,0.00184628,,
2016,Kalimantan Timur,amc,0.007646099,,
2016,Kalimantan Timur,mc,0.002238048,,
2016,Kalimantan Timur,poor,0.00082562,,
2016,Kalimantan Timur,uc,2.766661550992579e-05,,
2016,Kalimantan Timur,vulnerable,0.002766217,,
2016,Kalimantan Utara,amc,0.001347319,,
2016,Kalimantan Utara,mc,0.000354401,,
2016,Kalimantan Utara,poor,0.000159458,,
2016,Kalimantan Utara,uc,3.2763294033517443e-06,,
2016,Kalimantan Utara,vulnerable,0.000695332,,
2016,Kepulauan Bangka Belitung,amc,0.003247614,,
2016,Kepulauan Bangka Belitung,mc,0.000676373,,
2016,Kepulauan Bangka Belitung,poor,0.000282129,,
2016,Kepulauan Bangka Belitung,uc,1.6109333622254404e-06,,
2016,Kepulauan Bangka Belitung,vulnerable,0.001199692,,
2016,Kepulauan Riau,amc,0.003763286,,
2016,Kepulauan Riau,mc,0.002083461,,
2016,Kepulauan Riau,poor,0.00046691,,
2016,Kepulauan Riau,uc,4.320234117494766e-06,,
2016,Kepulauan Riau,vulnerable,0.001492513,,
2016,Lampung,amc,0.014280467711422062,,
2016,Lampung,mc,0.003615785,,
2016,Lampung,poor,0.00453528,,
2016,Lampung,uc,2.1132843217900133e-05,,
2016,Lampung,vulnerable,0.009278285,,
2016,Maluku,amc,0.002623542,,
2016,Maluku,mc,0.000800318,,
2016,Maluku,poor,0.001270791,,
2016,Maluku,uc,5.351599037700067e-06,,
2016,Maluku,vulnerable,0.001923882,,
2016,Maluku Utara,amc,0.002621738,,
2016,Maluku Utara,mc,0.000496075,,
2016,Maluku Utara,poor,0.000289576,,
2016,Maluku Utara,uc,3.504150154134115e-06,,
2016,Maluku Utara,vulnerable,0.001164615,,
2016,Nusa Tenggara Barat,amc,0.007953052,,
2016,Nusa Tenggara Barat,mc,0.002669566,,
2016,Nusa Tenggara Barat,poor,0.003119319,,
2016,Nusa Tenggara Barat,uc,2.1402925533522563e-05,,
2016,Nusa Tenggara Barat,vulnerable,0.005163144,,
2016,Nusa Tenggara Timur,amc,0.007861402,,
2016,Nusa Tenggara Timur,mc,0.0013021,,
2016,Nusa Tenggara Timur,poor,0.004458948,,
2016,Nusa Tenggara Timur,uc,6.8603357322677215e-06,,
2016,Nusa Tenggara Timur,vulnerable,0.006466586,,
2016,Papua,amc,0.005254096,,
2016,Papua,mc,0.001942012,,
2016,Papua,poor,0.003533783,,
2016,Papua,uc,2.648608855376077e-06,,
2016,Papua,vulnerable,0.001648053,,
2016,Papua Barat,amc,0.00163111,,
2016,Papua Barat,mc,0.000404257,,
2016,Papua Barat,poor,0.000875576,,
2016,Papua Barat,uc,1.2585405465615378e-06,,
2016,Papua Barat,vulnerable,0.00053054,,
2016,Riau,amc,0.012952779035542884,,
2016,Riau,mc,0.004306045,,
2016,Riau,poor,0.00199854,,
2016,Riau,uc,3.027700757045437e-05,,
2016,Riau,vulnerable,0.005767534,,
2016,Sulawesi Barat,amc,0.002357802,,
2016,Sulawesi Barat,mc,0.000782583,,
2016,Sulawesi Barat,poor,0.000592217,,
2016,Sulawesi Barat,uc,1.1670985299833444e-05,,
2016,Sulawesi Barat,vulnerable,0.001298022,,
2016,Sulawesi Selatan,amc,0.013368107017980071,,
2016,Sulawesi Selatan,mc,0.009349561,,
2016,Sulawesi Selatan,poor,0.00312934,,
2016,Sulawesi Selatan,uc,0.000310377,,
2016,Sulawesi Selatan,vulnerable,0.007131176,,
2016,Sulawesi Tengah,amc,0.00495813,,
2016,Sulawesi Tengah,mc,0.001608548,,
