year,province,category,value
2016.0,Jawa Barat,vulnerable,0.22743161672411963
2016.0,Jawa Tengah,amc,0.4376087331810369
2016.0,Jawa Tengah,mc,0.16019681514720546
2016.0,Jawa Tengah,poor,0.1327203834046446
2016.0,Jawa Tengah,uc,0.0028982018758464197
2016.0,Jawa Tengah,vulnerable,0.2665758663912665
2016.0,Jawa Timur,amc,0.42467509577866297
2016.0,Jawa Timur,mc,0.1995461824907668
2016.0,Jawa Timur,poor,0.12054103416374888
2016.0,Jawa Timur,uc,0.005640329801982147
2016.0,Jawa Timur,vulnerable,0.24959735776483924
2016.0,Kalimantan Barat,amc,0.5214906287048178
2016.0,Kalimantan Barat,mc,0.16088185230499416
2016.0,Kalimantan Barat,poor,0.07873291414066727
2016.0,Kalimantan Barat,uc,0.001479287422572578
2016.0,Kalimantan Barat,vulnerable,0.23741531742694816
2016.0,Kalimantan Selatan,amc,0.5466251116366213
2016.0,Kalimantan Selatan,mc,0.21203476795152457
2016.0,Kalimantan Selatan,poor,0.04845309656258914
2016.0,Kalimantan Selatan,uc,0.0023706108471389527
2016.0,Kalimantan Selatan,vulnerable,0.19051641300212618
2016.0,Kalimantan Tengah,amc,0.48862728063533645
2016.0,Kalimantan Tengah,mc,0.263449742419081
2016.0,Kalimantan Tengah,poor,0.05657275133635984
2016.0,Kalimantan Tengah,uc,0.003620565681759885
2016.0,Kalimantan Tengah,vulnerable,0.18772965992746274
2016.0,Kalimantan Timur,amc,0.5662245521227596
2016.0,Kalimantan Timur,mc,0.16573651013509247
2016.0,Kalimantan Timur,poor,0.06114052984437132
2016.0,Kalimantan Timur,uc,0.00204882478408501
2016.0,Kalimantan Timur,vulnerable,0.20484958311369172
2016.0,Kalimantan Utara,amc,0.5263404788984376
2016.0,Kalimantan Utara,mc,0.13844955070724105
2016.0,Kalimantan Utara,poor,0.06229332077889988
2016.0,Kalimantan Utara,uc,0.0012799232314832534
2016.0,Kalimantan Utara,vulnerable,0.2716367263839383
2016.0,Kepulauan Bangka Belitung,amc,0.6005849118073281
2016.0,Kepulauan Bangka Belitung,mc,0.1250823967701619
2016.0,Kepulauan Bangka Belitung,poor,0.052174477381868534
2016.0,Kepulauan Bangka Belitung,uc,0.00029791169734130486
2016.0,Kepulauan Bangka Belitung,vulnerable,0.22186030234330034
2016.0,Kepulauan Riau,amc,0.48182456561072007
2016.0,Kepulauan Riau,mc,0.2667515546043987
2016.0,Kepulauan Riau,poor,0.05977987716656689
2016.0,Kepulauan Riau,uc,0.0005531322299521071
2016.0,Kepulauan Riau,vulnerable,0.19109087038836212
2016.0,Lampung,amc,0.4500485258482494
2016.0,Lampung,mc,0.11395135075960815
2016.0,Lampung,poor,0.142929224473147
2016.0,Lampung,uc,0.0006660009412430537
2016.0,Lampung,vulnerable,0.2924048979777526
2016.0,Maluku,amc,0.3960730134173241
2016.0,Maluku,mc,0.1208230336135458
2016.0,Maluku,poor,0.19184984202647412
2016.0,Maluku,uc,0.0008079244115499664
2016.0,Maluku,vulnerable,0.29044618653110615
2016.0,Maluku Utara,amc,0.572993886332678
2016.0,Maluku Utara,mc,0.10841957502115133
2016.0,Maluku Utara,poor,0.06328823205128208
2016.0,Maluku Utara,uc,0.0007658495713760237
2016.0,Maluku Utara,vulnerable,0.2545324570235126
2016.0,Nusa Tenggara Barat,amc,0.4202075918034311
2016.0,Nusa Tenggara Barat,mc,0.14104922402021278
2016.0,Nusa Tenggara Barat,poor,0.16481238014157515
2016.0,Nusa Tenggara Barat,uc,0.0011308453005075807
2016.0,Nusa Tenggara Barat,vulnerable,0.2727999587342734
2016.0,Nusa Tenggara Timur,amc,0.39119442064044263
2016.0,Nusa Tenggara Timur,mc,0.06479432449365843
2016.0,Nusa Tenggara Timur,poor,0.22188349225842896
2016.0,Nusa Tenggara Timur,uc,0.0003413799432940013
2016.0,Nusa Tenggara Timur,vulnerable,0.32178638266417603
2016.0,Papua,amc,0.4243816450925176
2016.0,Papua,mc,0.1568593492438327
2016.0,Papua,poor,0.28542925723792606
2016.0,Papua,uc,0.00021393231495672
2016.0,Papua,vulnerable,0.133115816110767
2016.0,Papua Barat,amc,0.4737822121375564
2016.0,Papua Barat,mc,0.11742309864788007
2016.0,Papua Barat,poor,0.2543251512302064
2016.0,Papua Barat,uc,0.00036556336243675504
2016.0,Papua Barat,vulnerable,0.15410397462192016
2016.0,Riau,amc,0.5169702188541394
2016.0,Riau,mc,0.1718624919093816
2016.0,Riau,poor,0.07976554444437094
2016.0,Riau,uc,0.0012084133595574925
2016.0,Riau,vulnerable,0.23019333143255044
2016.0,Sulawesi Barat,amc,0.467604874492842
2016.0,Sulawesi Barat,mc,0.15520370476494552
2016.0,Sulawesi Barat,poor,0.11744990279019869
2016.0,Sulawesi Barat,uc,0.002314617814314917
2016.0,Sulawesi Barat,vulnerable,0.257426900137699
2016.0,Sulawesi Selatan,amc,0.40158259547068526
2016.0,Sulawesi Selatan,mc,0.2808640742481695
2016.0,Sulawesi Selatan,poor,0.09400647685241695
2016.0,Sulawesi Selatan,uc,0.009323828564219238
2016.0,Sulawesi Selatan,vulnerable,0.21422302486450903
2016.0,Sulawesi Tengah,amc,0.4393395408895577
2016.0,Sulawesi Tengah,mc,0.14253327204595714
2016.0,Sulawesi Tengah,poor,0.1444898231536905
2016.0,Sulawesi Tengah,uc,0.0008294740852874668
2016.0,Sulawesi Tengah,vulnerable,0.27280788982550724
2016.0,Sulawesi Tenggara,amc,0.3558993362327468
2016.0,Sulawesi Tenggara,mc,0.28423054989162805
2016.0,Sulawesi Tenggara,poor,0.12878488858514303
2016.0,Sulawesi Tenggara,uc,0.005055094633674281
2016.0,Sulawesi Tenggara,vulnerable,0.2260301306568079
2016.0,Sulawesi Utara,amc,0.39837692453718115
2016.0,Sulawesi Utara,mc,0.30019761373328313
2016.0,Sulawesi Utara,poor,0.08343924469249837
2016.0,Sulawesi Utara,uc,0.005630981075463807
2016.0,Sulawesi Utara,vulnerable,0.21235523596157352
2016.0,Sumatera Barat,amc,0.5113349494726674
2016.0,Sumatera Barat,mc,0.12895349595799496
2016.0,Sumatera Barat,poor,0.07085804663959011
2016.0,Sumatera Barat,uc,0.0011445629279956604
2016.0,Sumatera Barat,vulnerable,0.2877089450017518
2016.0,Sumatera Selatan,amc,0.47987254981656396
2016.0,Sumatera Selatan,mc,0.1443705830490349
2016.0,Sumatera Selatan,poor,0.13538740435625585
2016.0,Sumatera Selatan,uc,0.0011783531594053906
2016.0,Sumatera Selatan,vulnerable,0.23919110961873993
2016.0,Sumatera Utara,amc,0.5525827667423817
2016.0,Sumatera Utara,mc,0.1056152176820192
2016.0,Sumatera Utara,poor,0.10354156081572016
2016.0,Sumatera Utara,uc,0.0008085715213678987
2016.0,Sumatera Utara,vulnerable,0.23745188323851094
2017.0,Aceh,amc,0.4553826820204365
2017.0,Aceh,mc,0.11111567159783027
2017.0,Aceh,poor,0.16891417948042625
2017.0,Aceh,uc,0.000780630710308007
2017.0,Aceh,vulnerable,0.2638068361909991
2017.0,Bali,amc,0.4472907989712261
2017.0,Bali,mc,0.3759489523155642
2017.0,Bali,poor,0.04253432505379919
2017.0,Bali,uc,0.006940595072239267
2017.0,Bali,vulnerable,0.12728532858717118
2017.0,Banten,amc,0.479001304368271
2017.0,Banten,mc,0.2907517933080223
2017.0,Banten,poor,0.05449782059973313
2017.0,Banten,uc,0.005335274395495877
2017.0,Banten,vulnerable,0.17041380732847763
2017.0,Bengkulu,amc,0.44995722529627535
2017.0,Bengkulu,mc,0.12648167227488605
2017.0,Bengkulu,poor,0.16450415543039246
2017.0,Bengkulu,uc,0.0009972837254488092
2017.0,Bengkulu,vulnerable,0.2580596632729972
2017.0,DI Yogyakarta,amc,0.3733622518744693
2017.0,DI Yogyakarta,mc,0.2667006662248242
2017.0,DI Yogyakarta,poor,0.1302121166177888
2017.0,DI Yogyakarta,uc,0.005020046973626174
2017.0,DI Yogyakarta,vulnerable,0.22470491830929162
2017.0,DKI Jakarta,amc,0.44256085663797395
2017.0,DKI Jakarta,mc,0.34611399255387154
2017.0,DKI Jakarta,poor,0.037651292603540415
